시작에들어가는가상글입	시작에들어가는가상글/NNP
참씩	참/NNG + 씩/XSN
창녀	창녀/NNG
창당	창당/NNG
채널	채널/NNG
처리	처리/NNG
처장	처장/NNG
처제	처/NNG + 제/XSN
척당	척/NNB + 당/XSN
척도	척도/NNG
척씩	척/NNB + 씩/XSN
척쯤	척/NNB + 쯤/XSN
천m	천/NR + m/SL
천t	천/NR + t/SL
천개	천/NR + 개/NNB
천건	천/NR + 건/NNB
천권	천/NR + 권/NNB
천년	천/NR + 년/NNB
천대	천/NR + 대/NNB
천량	천/NR + 량/NNB
천리	천/NR + 리/NNB
천만	천만/NNG
천만	천만/NR
천면	천/NR + 면/NNG
천명	천/NR + 명/NNB
천문	천/NR + 문/NNG
천발	천/NR + 발/NNB
천벌	천/NR + 벌/NNB
천본	천/NR + 본/NNB
천봉	천/NR + 봉/NNG
천부	천/NR + 부/NNB
천분	천/NR + 분/XSN
천불	천/NR + 불/NNB
천弗	천/NR + 弗/SH
천실	천/NR + 실/NNG
천쌍	천/NR + 쌍/NNG
천어	천/NR + 어/NNG
천억	천억/NR
천엔	천/NR + 엔/NNB
천여	천/NR + 여/XSN
천원	천/NR + 원/NNB
천인	천/NR + 인/NNG
천자	천/NR + 자/NNG
천장	천/NR + 장/NNB
천장	천장/NNG
천주	천/NR + 주/NNB
천질	천/NR + 질/NNB
천차	천/NR + 차/NNB
천채	천/NR + 채/NNB
천컷	천/NR + 컷/NNG
천킵	천/NR + 킵/NNG
천톤	천/NR + 톤/NNB
천통	천/NR + 통/NNB
천평	천/NR + 평/NNB
천坪	천/NR + 坪/SH
천호	천/NR + 호/NNB
천회	천/NR + 회/NNB
청사	청사/NNG
체급	체급/NNG
체제	체제/NNG
초간	초/NNB + 간/NNB
초간	초/NNB + 간/NNG
초당	초/NNB + 당/XSN
초대	초/NNB + 대/XSN
초만	초/NNB + 만/JX
초소	초소/NNG
초속	초/NNB + 속/NNG
초씩	초/NNB + 씩/XSN
초전	초/NNB + 전/NNG
초쯤	초/NNB + 쯤/XSN
초차	초/NNB + 차/NNG
촌네	촌/NNB + 네/XSN
촌락	촌락/NNG
촌씩	촌/NNB + 씩/XSN
촌집	촌/NNB + 집/NNG
촌쯤	촌/NNB + 쯤/NNB
총사	총사/NNG
총장	총장/NNG
총재	총재/NNG
추경	추경/NNG
측성	측/NNB + 성/NNG
층간	층/XSN + 간/NNB
층단	층/NNG + 단/NNG
층단	층단/NNG
층밥	층/NNG + 밥/NNG
층방	층/NNG + 방/NNG
층씩	층/NNG + 씩/XSN
층전	층/NNB + 전/NNG
층집	층/NNG + 집/NNG
층집	층/NNG + 집/NNG
층쯤	층/NNG + 쯤/XSN
층탑	층/NNG + 탑/NNG
치쯤	치/NNB + 쯤/NNG
친구	친구/NNG
칠년	칠/NR + 년/NNB
칠백	칠백/NR
칠십	칠십/NR
칠일	칠/NR + 일/NNB
칠천	칠천/NR
칠팔	칠팔/NR
칸쯤	칸/NNG + 쯤/XSN
캐럿	캐럿/NNG
커트	커트/NNG
켤레	켤레/NNB
코스	코스/NNG
쿼터	쿼터/NNG
큐핏	큐핏/NNB
킬로	킬로/NNB
타석	타석/NNG
타수	타수/NNG
타스	타스/NNB
타자	타자/NNG
타점	타점/NNG
타째	타/NNG + 째/XSN
타차	타/NNG + 차/NNG
택시	택시/NNG
토막	토막/NNG
톤급	톤/NNB + 급/NNG
톤당	톤/NNB + 당/XSN
톤씩	톤/NNB + 씩/XSN
통씩	통/NNB + 씩/XSN
통장	통장/NNG
통화	통화/NNG
투신	투신/NNG
트랙	트랙/NNG
특보	특보/NNG
특전	특전/NNG
특품	특품/NNG
팀씩	팀/NNG + 씩/XSN
팀장	팀장/NNG
파전	파/NNG + 전/NNG
패씩	패/NNB + 씩/XSN
퍼트	퍼트/NNG
페니	페니/NNG
페소	페소/NNG
펜스	펜스/NNB
편꼴	편/NNB + 꼴/XSN
편당	편/NNB + 당/XSN
편본	편/NNG + 본/NNG
편분	편/NNB + 분/XSN
편성	편성/NNG
편씩	편/NNB + 씩/XSN
편쯤	편/NNB + 쯤/XSN
평당	평/NNB + 당/XSN
평대	평/NNB + 대/XSN
평방	평방/NNG
평생	평생/NNG
평쯤	평/NNB + 쯤/XSN
평형	평/NNB + 형/XSN
폐수	폐수/NNG
포기	포기/NNG
포당	포/NNG + 당/XSN
포대	포대/NNG
포병	포병/NNG
폭반	폭/NNB + 반/NNG
폭반	폭/NNG + 반/NNG
폭씩	폭/NNB + 씩/XSN
폭포	폭포/NNG
표차	표/NNG + 차/NNG
품계	품계/NNG
품관	품관/NNG
품목	품목/NNG
품종	품종/NNG
풍상	풍상/NNG
프랑	프랑/NNB
프로	프로/NNB
피트	피트/NNB
픽셀	픽셀/NNG
핀트	핀트/NNG
필씩	필/NNB + 씩/XSN
필지	필지/NNB
하나	하나/NR
하루	하루/NNG
학계	학/NNG + 계/XSN
학과	학과/NNG
학군	학군/NNG
학급	학급/NNG
학기	학기/NNG
학년	학년/NNG
학도	학도/NNG
학번	학번/NNG
학생	학생/NNG
학점	학점/NNG
한둘	한둘/NR
함대	함대/NNG
항구	항구/NNG
항목	항목/NNG
項目	項目/SH
항사	항사/NNG
항차	항차/NNG
해리	해리/NNB
海里	海里/SH
해법	해/NNG + 법/NNG
해안	해안/NNG
해역	해역/NNG
해전	해/NNG + 전/NNG
해체	해체/NNG
행사	행사/NNG
행시	행/NNG + 시/NNG
행씩	행/NNG + 씩/XSN
행주	행주/NNP
혁명	혁명/NNG
현금	현금/NNG
현령	현령/NNG
현장	현장/NNG
顯宗	顯宗/SH
형님	형/NNG + 님/XSN
형제	형제/NNG
호골	호/NNB + 골/NNG
호기	호/NNB + 기/NNB
호기	호/NNB + 기/NNG
호기	호기/NNG
호당	호/NNB + 당/XSN
호때	호/NNB + 때/NNG
호묘	호/NNB + 묘/NNG
호방	호/NNB + 방/NNG
호봉	호봉/NNG
호분	호/NNB + 분/NNG
호뿐	호/NNB + 뿐/NNB
호선	호/NNB + 선/NNG
호선	호선/NNG
호수	호수/NNG
호실	호실/NNG
호점	호/NNB + 점/NNG
호점	호점/NNG
호정	호/NNB + 정/NNG
호집	호/NNB + 집/NNG
호쪽	호/NNG + 쪽/NNB
호차	호/NNB + 차/NNG
호포	호/NNB + 포/NNG
호흡	호흡/NNG
홀차	홀/NNG + 차/NNG
홈런	홈런/NNG
홉씩	홉/NNB + 씩/XSN
화산	화산/NNP
화음	화음/NNG
환씩	환/NNB + 씩/XSN
황산	황산/NNP
회계	회계/NNG
회기	회/NNB + 기/NNG
회꼴	회/NNB + 꼴/XSN
회당	회/NNB + 당/XSN
회때	회/NNB + 때/NNG
회말	회/NNB + 말/NNB
회분	회/NNB + 분/XSN
회선	회선/NNG
회성	회/NNB + 성/XSN
회씩	회/NNB + 씩/XSN
회용	회/NNB + 용/XSN
회전	회전/NNB
회째	회/NNB + 째/XSN
회쪽	회/NNB + 쪽/NNG
회차	회/NNB + 차/NNB
회초	회/NNB + 초/NNB
후반	후반/NNG
후배	후배/NNG
후보	후보/NNG
후퇴	후퇴/NNG
흉일	흉일/NNG
%	%/SL
a	a/SL
A	A/SL
b	b/SL
B	B/SL
C	C/SL
c	c/SL
D	D/SL
d	d/SL
D	D/SL
e	e/SL
f	f/SL
F	F/SL
g	g/SL
H	H/SL
I	I/SL
K	K/SL
L	L/SL
l	l/SL
m	m/SL
M	M/SL
n	n/SL
O	O/SL
P	P/SL
p	p/SL
R	R/SL
S	S/SL
t	t/SL
T	T/SL
V	V/SL
W	W/SL
x	x/SL
각	각/NNG
角	角/SH
간	간/NNB
갑	갑/NNG
강	강/NNG
개	개/NNB
객	객/NNG
건	건/NNB
件	件/SH
걸	걸/NNG
검	검/NNG
것	것/NNB
결	결/NNB
겹	겹/NNG
경	경/NNG
계	계/NNG
고	고/NNG
곡	곡/NNG
골	골/NNG
곱	곱/NNG
곳	곳/NNG
공	공/NNG
共	共/SH
과	과/NNG
관	관/NNB
관	관/NNG
광	광/NNG
괘	괘/NNG
교	교/NNB
구	구/NNB
區	區/SH
국	국/NNB
군	군/NNB
軍	軍/SH
궁	궁/NNG
권	권/NNB
극	극/NNG
근	근/NNB
斤	斤/SH
금	금/NNG
급	급/NNB
기	기/NNB
期	期/SH
길	길/NNB
김	김/NNP
꿍	꿍/NNG
끗	끗/NNB
끼	끼/NNG
나	나/NNG
낙	낙/NNG
난	난/NNG
날	날/NNB
남	남/NNG
냥	냥/NNB
넷	넷/NR
녀	녀/NNG
년	년/NNB
年	年/SH
놈	놈/NNB
닢	닢/NNB
다	다/NNG
단	단/NNB
달	달/NNB
답	답/NNG
당	당/NNG
黨	黨/SH
대	대/NNB
代	代/SH
大	大/SH
댁	댁/NNG
댓	댓/NR
덕	덕/NNG
도	도/NNB
度	度/SH
독	독/NNG
돈	돈/NNB
돌	돌/NNB
동	동/NNB
되	되/NNB
두	두/NNB
둘	둘/NR
등	등/NNB
딸	딸/NNG
때	때/NNG
락	락/NNG
량	량/NNG
량	량/NNB
련	련/NNG
례	례/NNG
勞	勞/SH
룡	룡/NNG
루	루/NNG
류	류/NNG
륜	륜/NNG
輪	輪/SH
리	리/NNB
里	里/SH
립	립/NNB
마	마/NNB
마	마/NNG
막	막/NNB
막	막/NNG
만	만/NR
말	말/NNB
매	매/NNB
면	면/NNG
面	面/SH
명	명/NNB
名	名/SH
몇	몇/NR
모	모/NP
목	목/NNG
묘	묘/NNG
무	무/NNG
문	문/NNB
문	문/NNG
問	問/SH
뭇	뭇/NNB
미	미/NNG
밍	밍/NNB
바	바/NNG
박	박/NNB
반	반/NNG
발	발/NNB
방	방/NNG
방	방/NNB
배	배/NNG
倍	倍/SH
백	백/NR
白	白/SH
百	百/SH
번	번/NNB
벌	벌/NNB
범	범/NNB
벽	벽/NNG
변	변/NNG
병	병/NNG
보	보/NNB
본	본/NNB
봉	봉/NNG
부	부/NNB
府	府/SH
분	분/NNB
분	분/NNG
分	分/SH
불	불/NNB
弗	弗/SH
뿐	뿐/NNB
사	사/NNG
社	社/SH
삭	삭/NNB
산	산/NNG
살	살/NNB
삼	삼/NR
상	상/NNG
새	새/NNB
색	색/NNG
석	석/NNB
선	선/NNB
選	選/SH
섬	섬/NNB
성	성/NNG
省	省/SH
세	세/NNB
世	世/SH
歲	歲/SH
셋	셋/NR
소	소/NNG
속	속/NNB
속	속/NNG
솥	솥/NNG
쇄	쇄/NNG
수	수/NNB
숙	숙/NNG
순	순/NNG
쉰	쉰/NR
승	승/NNB
시	시/NNB
時	時/SH
식	식/NNB
신	신/NNG
실	실/NNB
실	실/NNG
심	심/NNG
십	십/NR
쌍	쌍/NNG
씨	씨/NNB
씬	씬/NNG
악	악/NNG
안	안/NNG
알	알/NNB
알	알/NNG
액	액/NNG
야	야/NNG
약	약/NNG
양	양/NNB
語	語/SH
억	억/NR
億	億/SH
언	언/NNG
엔	엔/NNB
엥	엥/NNB
여	여/NNG
역	역/NNG
役	役/SH
연	연/NNG
열	열/NNB
영	영/NNP
예	예/NNG
오	오/NR
옥	옥/NNG
온	온/NNG
왕	왕/NNG
웅	웅/NNG
원	원/NNB
元	元/SH
월	월/NNB
月	月/SH
위	위/NNB
위	위/NNG
음	음/NNG
읍	읍/NNG
의	의/NNG
이	이/NNB
익	익/NNG
인	인/NNG
人	人/SH
일	일/NNB
一	一/SH
日	日/SH
잎	잎/NNG
자	자/NNB
字	字/SH
煮	煮/SH
者	者/SH
작	작/NNB
잔	잔/NNG
장	장/NNB
재	재/NNG
저	저/NNG
적	적/NNG
전	전/NNB
절	절/NNG
점	점/NNB
정	정/NNB
題	題/SH
족	족/NNG
종	종/NNB
種	種/SH
좌	좌/NNG
주	주/NNB
周	周/SH
週	週/SH
죽	죽/NNB
줄	줄/NNB
중	중/NNB
지	지/NNB
직	직/NNG
진	진/NNG
짐	짐/NNG
집	집/NNB
짝	짝/NNB
쪽	쪽/NNB
쯤	쯤/NNG
차	차/NNB
次	次/SH
착	착/NNG
참	참/NNG
채	채/NNB
책	책/NNG
처	처/NNG
척	척/NNB
尺	尺/SH
천	천/NNG
천	천/NR
千	千/SH
철	철/NNG
첩	첩/NNB
초	초/NNB
촉	촉/NNB
촌	촌/NNB
촌	촌/NNG
충	충/NNG
층	층/NNG
치	치/NNB
칙	칙/NNG
칠	칠/NR
칸	칸/NNG
캔	캔/NNG
컵	컵/NNG
컷	컷/NNG
타	타/NNG
탁	탁/NNG
탄	탄/NNB
탕	탕/NNG
湯	湯/SH
태	태/NNG
택	택/NNG
톤	톤/NNB
통	통/NNB
팀	팀/NNG
파	파/NNG
판	판/NNB
팔	팔/NR
패	패/NNB
팩	팩/NNG
편	편/NNB
평	평/NNB
폐	폐/NNG
포	포/NNB
폭	폭/NNB
幅	幅/SH
표	표/NNG
푼	푼/NNB
품	품/NNB
핀	핀/NNG
필	필/NNB
한	한/NNG
할	할/NNB
함	함/NNG
합	합/NNG
항	항/NNG
해	해/NNB
행	행/NNG
현	현/NNG
縣	縣/SH
형	형/NNG
호	호/NNB
號	號/SH
홀	홀/NNG
홉	홉/NNB
화	화/NNG
환	환/NNB
환	환/NNG
회	회/NNB
回	回/SH
획	획/NNG
효	효/NNG
후	후/NNG
훈	훈/NNG
